trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
692,False,"{'a': 0.002, 'e': 0.25107589877547265}",20,9,-23.641103363275214,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
693,False,"{'a': 0.002, 'e': 0.25057424879511875}",20,5,24.995846568909087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.002, 'e': 0.2500736011120941}",20,1,-1.3208470098462168,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
695,False,"{'a': 0.002, 'e': 0.24957395372380728}",20,13,5.314068631980364,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
696,False,"{'a': 0.002, 'e': 0.24907530463166816}",20,6,12.415732849770677,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.002, 'e': 0.24857765184107966}",20,14,13.589910755229019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.002, 'e': 0.24808099336142997}",30,18,16.053910126236172,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.002, 'e': 0.2475853272060845}",25,14,19.2476152523033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.002, 'e': 0.24709065139237796}",20,8,7.536203275855714,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
701,False,"{'a': 0.002, 'e': 0.24659696394160643}",20,12,10.593270559465118,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.002, 'e': 0.2461042628790195}",25,15,5.96644702508009,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.002, 'e': 0.2456125462338122}",25,19,10.28706662933499,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.002, 'e': 0.24512181203911731}",20,10,17.68613188886452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.002, 'e': 0.2446320583319975}",30,6,-13.036755923021781,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
